simulacion,objetos,algoritmo,pesos,valores,capacidad,tiempo,memoria_kb,nodos,valor_optimo
73,12,BFS,"[3, 14, 8, 14, 10, 8, 8, 3, 5, 8, 14, 7]","[21, 25, 4, 1, 10, 16, 11, 2, 28, 4, 3, 16]",40,0.004330600029788911,99.296875,2977,108
73,12,DFS,"[3, 14, 8, 14, 10, 8, 8, 3, 5, 8, 14, 7]","[21, 25, 4, 1, 10, 16, 11, 2, 28, 4, 3, 16]",40,0.003474599972832948,0.3984375,2977,108
74,12,BFS,"[2, 11, 1, 3, 10, 2, 2, 13, 10, 13, 4, 9]","[19, 22, 5, 26, 10, 8, 18, 14, 20, 20, 25, 13]",32,0.005050299980212003,124.0078125,3468,130
74,12,DFS,"[2, 11, 1, 3, 10, 2, 2, 13, 10, 13, 4, 9]","[19, 22, 5, 26, 10, 8, 18, 14, 20, 20, 25, 13]",32,0.0038989000022411346,0.46875,3468,130
75,12,BFS,"[8, 8, 14, 7, 10, 1, 12, 13, 11, 5, 2, 4]","[30, 10, 19, 10, 20, 20, 4, 7, 7, 22, 6, 6]",38,0.004173199995420873,108.8671875,2767,114
75,12,DFS,"[8, 8, 14, 7, 10, 1, 12, 13, 11, 5, 2, 4]","[30, 10, 19, 10, 20, 20, 4, 7, 7, 22, 6, 6]",38,0.003162899985909462,0.421875,2767,114
76,12,BFS,"[9, 3, 7, 12, 8, 1, 5, 5, 14, 2, 4, 5]","[3, 1, 15, 20, 10, 8, 23, 23, 15, 22, 30, 26]",30,0.004600599990226328,114.046875,3030,147
76,12,DFS,"[9, 3, 7, 12, 8, 1, 5, 5, 14, 2, 4, 5]","[3, 1, 15, 20, 10, 8, 23, 23, 15, 22, 30, 26]",30,0.0033296000328846276,0.4765625,3030,147
77,12,BFS,"[13, 10, 13, 4, 2, 4, 3, 5, 3, 1, 13, 10]","[21, 22, 30, 14, 18, 21, 30, 27, 3, 6, 10, 24]",32,0.004889500036370009,111.421875,3350,146
77,12,DFS,"[13, 10, 13, 4, 2, 4, 3, 5, 3, 1, 13, 10]","[21, 22, 30, 14, 18, 21, 30, 27, 3, 6, 10, 24]",32,0.0036772999446839094,0.625,3350,146
78,12,BFS,"[14, 15, 8, 8, 5, 7, 9, 8, 2, 1, 7, 6]","[19, 10, 4, 23, 23, 9, 18, 15, 20, 29, 24, 20]",36,0.0043762000277638435,106.34375,2826,148
78,12,DFS,"[14, 15, 8, 8, 5, 7, 9, 8, 2, 1, 7, 6]","[19, 10, 4, 23, 23, 9, 18, 15, 20, 29, 24, 20]",36,0.003217299992684275,0.421875,2826,148
79,12,BFS,"[5, 2, 11, 14, 10, 13, 14, 10, 13, 3, 9, 8]","[1, 8, 27, 19, 1, 22, 9, 2, 25, 16, 21, 30]",44,0.004115400020964444,97.2265625,2831,119
79,12,DFS,"[5, 2, 11, 14, 10, 13, 14, 10, 13, 3, 9, 8]","[1, 8, 27, 19, 1, 22, 9, 2, 25, 16, 21, 30]",44,0.003290899971034378,0.3984375,2831,119
80,12,BFS,"[5, 10, 11, 8, 8, 7, 6, 2, 3, 7, 8, 11]","[6, 14, 27, 3, 12, 11, 22, 28, 11, 23, 10, 13]",34,0.004919700033497065,100.2578125,3207,117
